,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Forecast
2010-02-05,24.0,1388725.63,0.0,22.43,2.954,131.5279032,8.326,
2010-02-12,24.0,1414107.1,1.0,25.94,2.94,131.5866129,8.326,
2010-02-19,24.0,1385362.49,0.0,31.05,2.909,131.637,8.326,
2010-02-26,24.0,1158722.74,0.0,33.98,2.91,131.686,8.326,
2010-03-05,24.0,1412387.37,0.0,36.73,2.919,131.735,8.326,
2010-03-12,24.0,1309340.16,0.0,42.31,2.938,131.784,8.326,
2010-03-19,24.0,1222511.29,0.0,46.09,2.96,131.8242903,8.326,
2010-03-26,24.0,1258311.56,0.0,48.87,2.963,131.863129,8.326,
2010-04-02,24.0,1478321.26,0.0,45.22,2.957,131.9019677,8.211,
2010-04-09,24.0,1379579.63,0.0,62.06,2.992,131.9408065,8.211,
2010-04-16,24.0,1268266.72,0.0,51.08,3.01,131.9809,8.211,
2010-04-23,24.0,1264117.01,0.0,51.07,3.021,132.0226667,8.211,
2010-04-30,24.0,1259877.19,0.0,51.48,3.042,132.0644333,8.211,
2010-05-07,24.0,1409705.03,0.0,66.65,3.095,132.1062,8.211,
2010-05-14,24.0,1346783.35,0.0,51.31,3.112,132.152129,8.211,
2010-05-21,24.0,1283482.85,0.0,60.44,3.096,132.2230323,8.211,
2010-05-28,24.0,1473868.15,0.0,69.59,3.046,132.2939355,8.211,
2010-06-04,24.0,1566668.91,0.0,71.99,3.006,132.3648387,8.211,
2010-06-11,24.0,1375458.21,0.0,64.84,2.972,132.4357419,8.211,
2010-06-18,24.0,1354168.18,0.0,67.17,2.942,132.4733333,8.211,
2010-06-25,24.0,1399073.75,0.0,74.9,2.958,132.4976,8.211,
2010-07-02,24.0,1563387.94,0.0,71.12,2.958,132.5218667,8.117,
2010-07-09,24.0,1665502.55,0.0,79.05,2.94,132.5461333,8.117,
2010-07-16,24.0,1418697.05,0.0,76.56,2.933,132.5667742,8.117,
2010-07-23,24.0,1333740.35,0.0,75.27,2.924,132.5825806,8.117,
2010-07-30,24.0,1387517.63,0.0,75.91,2.932,132.5983871,8.117,
2010-08-06,24.0,1442819.28,0.0,74.54,2.942,132.6141935,8.117,
2010-08-13,24.0,1384243.75,0.0,74.17,2.923,132.63,8.117,
2010-08-20,24.0,1375307.54,0.0,72.17,2.913,132.6616129,8.117,
2010-08-27,24.0,1350059.35,0.0,67.0,2.885,132.6932258,8.117,
2010-09-03,24.0,1366381.6,0.0,73.52,2.86,132.7248387,8.117,
2010-09-10,24.0,1474498.59,1.0,67.11,2.837,132.7564516,8.117,
2010-09-17,24.0,1273295.46,0.0,60.31,2.846,132.7670667,8.117,
2010-09-24,24.0,1169413.27,0.0,64.3,2.837,132.7619333,8.117,
2010-10-01,24.0,1215273.2,0.0,66.88,2.84,132.7568,8.275,
2010-10-08,24.0,1361944.94,0.0,54.82,2.903,132.7516667,8.275,
2010-10-15,24.0,1300806.74,0.0,52.83,2.999,132.7633548,8.275,
2010-10-22,24.0,1234875.33,0.0,48.69,3.049,132.8170968,8.275,
2010-10-29,24.0,1244925.94,0.0,57.29,3.055,132.8708387,8.275,
2010-11-05,24.0,1285358.01,0.0,42.2,3.049,132.9245806,8.275,
2010-11-12,24.0,1312877.01,0.0,41.76,3.065,132.9783226,8.275,
2010-11-19,24.0,1277150.6,0.0,45.63,3.138,132.9172,8.275,
2010-11-26,24.0,1779276.51,1.0,41.92,3.186,132.8369333,8.275,
2010-12-03,24.0,1413302.7,0.0,37.08,3.2,132.7566667,8.275,
2010-12-10,24.0,1593012.75,0.0,27.11,3.255,132.6764,8.275,
2010-12-17,24.0,1663525.77,0.0,27.99,3.301,132.6804516,8.275,
2010-12-24,24.0,2386015.75,0.0,27.74,3.309,132.7477419,8.275,
2010-12-31,24.0,1208600.05,1.0,25.9,3.336,132.8150323,8.275,
2011-01-07,24.0,1178641.71,0.0,30.72,3.351,132.8823226,8.252,
2011-01-14,24.0,1167740.2,0.0,22.41,3.367,132.9510645,8.252,
2011-01-21,24.0,1107170.39,0.0,23.69,3.391,133.0285161,8.252,
2011-01-28,24.0,1126921.34,0.0,17.91,3.402,133.1059677,8.252,
2011-02-04,24.0,1225182.04,0.0,23.83,3.4,133.1834194,8.252,
2011-02-11,24.0,1341240.62,1.0,26.51,3.416,133.260871,8.252,
2011-02-18,24.0,1360150.12,0.0,34.04,3.42,133.3701429,8.252,
2011-02-25,24.0,1235121.33,0.0,26.09,3.452,133.4921429,8.252,
2011-03-04,24.0,1346994.53,0.0,31.36,3.605,133.6141429,8.252,
2011-03-11,24.0,1253218.7,0.0,39.51,3.752,133.7361429,8.252,
2011-03-18,24.0,1168397.26,0.0,43.39,3.796,133.8492258,8.252,
2011-03-25,24.0,1158693.12,0.0,36.88,3.789,133.9587419,8.252,
2011-04-01,24.0,1163803.3,0.0,35.73,3.811,134.0682581,8.212,
2011-04-08,24.0,1273670.32,0.0,44.7,3.895,134.1777742,8.212,
2011-04-15,24.0,1245576.65,0.0,52.36,3.981,134.2784667,8.212,
2011-04-22,24.0,1372484.9,0.0,46.0,4.061,134.3571,8.212,
2011-04-29,24.0,1197761.17,0.0,60.48,4.117,134.4357333,8.212,
2011-05-06,24.0,1339630.35,0.0,55.75,4.192,134.5143667,8.212,
2011-05-13,24.0,1311950.16,0.0,58.49,4.211,134.593,8.212,
2011-05-20,24.0,1234281.7,0.0,59.84,4.202,134.6803871,8.212,
2011-05-27,24.0,1311153.72,0.0,65.74,4.134,134.7677742,8.212,
