,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Forecast
2010-02-05,29.0,538634.46,0.0,24.36,2.788,131.5279032,10.064,
2010-02-12,29.0,529672.95,1.0,28.14,2.771,131.5866129,10.064,
2010-02-19,29.0,542399.07,0.0,31.96,2.747,131.637,10.064,
2010-02-26,29.0,488417.61,0.0,35.98,2.753,131.686,10.064,
2010-03-05,29.0,535087.91,0.0,36.82,2.766,131.735,10.064,
2010-03-12,29.0,519042.49,0.0,43.43,2.805,131.784,10.064,
2010-03-19,29.0,496851.6,0.0,46.03,2.834,131.8242903,10.064,
2010-03-26,29.0,552985.34,0.0,48.56,2.831,131.863129,10.064,
2010-04-02,29.0,599629.25,0.0,44.96,2.826,131.9019677,10.16,
2010-04-09,29.0,569937.23,0.0,57.06,2.849,131.9408065,10.16,
2010-04-16,29.0,509100.84,0.0,51.14,2.885,131.9809,10.16,
2010-04-23,29.0,505329.66,0.0,51.04,2.895,132.0226667,10.16,
2010-04-30,29.0,501013.47,0.0,50.96,2.935,132.0644333,10.16,
2010-05-07,29.0,568497.35,0.0,63.81,2.981,132.1062,10.16,
2010-05-14,29.0,518940.88,0.0,50.99,2.983,132.152129,10.16,
2010-05-21,29.0,502021.82,0.0,59.99,2.961,132.2230323,10.16,
2010-05-28,29.0,577627.66,0.0,65.64,2.906,132.2939355,10.16,
2010-06-04,29.0,588017.66,0.0,69.49,2.857,132.3648387,10.16,
2010-06-11,29.0,540716.58,0.0,65.01,2.83,132.4357419,10.16,
2010-06-18,29.0,558731.74,0.0,67.13,2.805,132.4733333,10.16,
2010-06-25,29.0,585548.79,0.0,74.37,2.81,132.4976,10.16,
2010-07-02,29.0,581473.55,0.0,72.88,2.815,132.5218667,10.409,
2010-07-09,29.0,563449.43,0.0,79.22,2.806,132.5461333,10.409,
2010-07-16,29.0,512292.01,0.0,76.3,2.796,132.5667742,10.409,
2010-07-23,29.0,506502.09,0.0,76.91,2.784,132.5825806,10.409,
2010-07-30,29.0,509872.77,0.0,76.35,2.792,132.5983871,10.409,
2010-08-06,29.0,519787.93,0.0,74.37,2.792,132.6141935,10.409,
2010-08-13,29.0,495269.0,0.0,74.75,2.81,132.63,10.409,
2010-08-20,29.0,531640.19,0.0,73.21,2.796,132.6616129,10.409,
2010-08-27,29.0,545766.13,0.0,68.99,2.77,132.6932258,10.409,
