,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Forecast
2010-02-05,42.0,543384.01,0.0,54.34,2.962,126.4420645,9.765,
2010-02-12,42.0,575709.96,1.0,49.96,2.828,126.4962581,9.765,
2010-02-19,42.0,508794.87,0.0,58.22,2.915,126.5262857,9.765,
2010-02-26,42.0,491510.58,0.0,52.77,2.825,126.5522857,9.765,
2010-03-05,42.0,554972.42,0.0,55.92,2.877,126.5782857,9.765,
2010-03-12,42.0,588363.62,0.0,52.33,3.034,126.6042857,9.765,
2010-03-19,42.0,519914.1,0.0,61.46,3.054,126.6066452,9.765,
2010-03-26,42.0,478021.68,0.0,60.05,2.98,126.6050645,9.765,
2010-04-02,42.0,505907.41,0.0,63.66,3.086,126.6034839,9.524,
2010-04-09,42.0,582552.26,0.0,65.29,3.004,126.6019032,9.524,
2010-04-16,42.0,549528.16,0.0,69.74,3.109,126.5621,9.524,
2010-04-23,42.0,492364.77,0.0,66.42,3.05,126.4713333,9.524,
2010-04-30,42.0,477615.87,0.0,69.76,3.105,126.3805667,9.524,
2010-05-07,42.0,582846.22,0.0,71.06,3.127,126.2898,9.524,
2010-05-14,42.0,564345.55,0.0,73.88,3.145,126.2085484,9.524,
2010-05-21,42.0,504403.16,0.0,78.32,3.12,126.1843871,9.524,
2010-05-28,42.0,484097.03,0.0,76.67,3.058,126.1602258,9.524,
2010-06-04,42.0,556046.12,0.0,82.82,2.941,126.1360645,9.524,
2010-06-11,42.0,607218.6,0.0,89.67,3.057,126.1119032,9.524,
2010-06-18,42.0,529418.64,0.0,83.49,2.935,126.114,9.524,
2010-06-25,42.0,484327.56,0.0,90.32,3.084,126.1266,9.524,
2010-07-02,42.0,507168.8,0.0,92.89,2.978,126.1392,9.199,
2010-07-09,42.0,570069.48,0.0,91.03,3.1,126.1518,9.199,
2010-07-16,42.0,558837.27,0.0,91.8,2.971,126.1498065,9.199,
2010-07-23,42.0,491115.86,0.0,88.44,3.112,126.1283548,9.199,
2010-07-30,42.0,469598.57,0.0,85.03,3.017,126.1069032,9.199,
2010-08-06,42.0,579544.21,0.0,86.13,3.123,126.0854516,9.199,
2010-08-13,42.0,583079.97,0.0,88.37,3.049,126.064,9.199,
2010-08-20,42.0,500945.63,0.0,89.88,3.041,126.0766452,9.199,
2010-08-27,42.0,465993.51,0.0,84.99,3.022,126.0892903,9.199,
2010-09-03,42.0,524658.06,0.0,83.8,3.087,126.1019355,9.199,
2010-09-10,42.0,589091.04,1.0,84.04,2.961,126.1145806,9.199,
2010-09-17,42.0,536871.58,0.0,85.52,3.028,126.1454667,9.199,
2010-09-24,42.0,492262.96,0.0,85.75,2.939,126.1900333,9.199,
2010-10-01,42.0,481523.93,0.0,86.01,3.001,126.2346,9.003,
2010-10-08,42.0,599759.45,0.0,77.04,2.924,126.2791667,9.003,
2010-10-15,42.0,559285.35,0.0,75.48,3.08,126.3266774,9.003,
2010-10-22,42.0,522467.51,0.0,68.12,3.014,126.3815484,9.003,
2010-10-29,42.0,476967.65,0.0,68.76,3.13,126.4364194,9.003,
2010-11-05,42.0,565390.4,0.0,71.04,3.009,126.4912903,9.003,
2010-11-12,42.0,588592.61,0.0,61.24,3.13,126.5461613,9.003,
2010-11-19,42.0,524316.21,0.0,58.83,3.047,126.6072,9.003,
2010-11-26,42.0,522296.71,1.0,55.33,3.162,126.6692667,9.003,
2010-12-03,42.0,500250.8,0.0,51.17,3.041,126.7313333,9.003,
2010-12-10,42.0,585175.24,0.0,60.51,3.091,126.7934,9.003,
2010-12-17,42.0,537455.65,0.0,59.15,3.125,126.8794839,9.003,
2010-12-24,42.0,555075.27,0.0,57.06,3.236,126.9835806,9.003,
2010-12-31,42.0,428953.6,1.0,49.67,3.148,127.0876774,9.003,
2011-01-07,42.0,592947.75,0.0,43.43,3.287,127.1917742,8.744,
2011-01-14,42.0,613899.15,0.0,49.98,3.312,127.3009355,8.744,
2011-01-21,42.0,533414.62,0.0,56.75,3.336,127.4404839,8.744,
2011-01-28,42.0,499081.79,0.0,53.03,3.231,127.5800323,8.744,
2011-02-04,42.0,586886.16,0.0,44.88,3.348,127.7195806,8.744,
2011-02-11,42.0,628063.88,1.0,51.51,3.381,127.859129,8.744,
2011-02-18,42.0,556485.1,0.0,61.77,3.43,127.99525,8.744,
2011-02-25,42.0,526904.08,0.0,53.59,3.398,128.13,8.744,
2011-03-04,42.0,570879.04,0.0,56.96,3.674,128.26475,8.744,
2011-03-11,42.0,607294.56,0.0,64.22,3.63,128.3995,8.744,
2011-03-18,42.0,558239.32,0.0,70.12,3.892,128.5121935,8.744,
2011-03-25,42.0,522673.62,0.0,62.53,3.716,128.6160645,8.744,
2011-04-01,42.0,508432.17,0.0,67.64,3.772,128.7199355,8.494,
2011-04-08,42.0,620087.35,0.0,73.03,3.818,128.8238065,8.494,
2011-04-15,42.0,597644.02,0.0,61.05,4.089,128.9107333,8.494,
2011-04-22,42.0,534597.69,0.0,75.93,3.917,128.9553,8.494,
2011-04-29,42.0,496010.17,0.0,73.38,4.151,128.9998667,8.494,
2011-05-06,42.0,612337.35,0.0,73.56,4.193,129.0444333,8.494,
2011-05-13,42.0,603024.75,0.0,74.04,4.202,129.089,8.494,
2011-05-20,42.0,524559.95,0.0,72.62,3.99,129.0756774,8.494,
2011-05-27,42.0,503295.29,0.0,78.62,3.933,129.0623548,8.494,
2011-06-03,42.0,545109.3,0.0,81.87,3.893,129.0490323,8.494,
2011-06-10,42.0,616701.99,0.0,84.57,3.981,129.0357097,8.494,
2011-06-17,42.0,546675.65,0.0,87.96,3.935,129.0432,8.494,
2011-06-24,42.0,501780.66,0.0,90.69,3.807,129.0663,8.494,
2011-07-01,42.0,506343.83,0.0,95.36,3.842,129.0894,8.257,
2011-07-08,42.0,593234.27,0.0,88.57,3.793,129.1125,8.257,
2011-07-15,42.0,591703.82,0.0,86.01,3.779,129.1338387,8.257,
2011-07-22,42.0,511316.29,0.0,88.59,3.697,129.1507742,8.257,
2011-07-29,42.0,479256.8,0.0,86.75,3.694,129.1677097,8.257,
2011-08-05,42.0,572603.33,0.0,89.8,3.803,129.1846452,8.257,
2011-08-12,42.0,603147.26,0.0,85.61,3.794,129.2015806,8.257,
2011-08-19,42.0,526641.23,0.0,87.4,3.743,129.2405806,8.257,
2011-08-26,42.0,503720.98,0.0,91.59,3.663,129.2832581,8.257,
2011-09-02,42.0,537124.76,0.0,91.61,3.798,129.3259355,8.257,
2011-09-09,42.0,608390.94,1.0,89.06,3.771,129.3686129,8.257,
2011-09-16,42.0,576837.09,0.0,77.49,3.784,129.4306,8.257,
2011-09-23,42.0,528486.45,0.0,82.51,3.789,129.5183333,8.257,
2011-09-30,42.0,510243.79,0.0,82.27,3.877,129.6060667,8.257,
2011-10-07,42.0,649111.23,0.0,75.01,3.827,129.6938,7.874,
2011-10-14,42.0,613531.11,0.0,70.27,3.698,129.7706452,7.874,
2011-10-21,42.0,537276.41,0.0,77.91,3.842,129.7821613,7.874,
2011-10-28,42.0,515599.7,0.0,72.79,3.843,129.7936774,7.874,
2011-11-04,42.0,597667.21,0.0,68.57,3.828,129.8051935,7.874,
2011-11-11,42.0,643125.29,0.0,55.28,3.677,129.8167097,7.874,
2011-11-18,42.0,567673.87,0.0,58.97,3.669,129.8268333,7.874,
2011-11-25,42.0,577698.37,1.0,60.68,3.76,129.8364,7.874,
2011-12-02,42.0,511883.36,0.0,57.29,3.701,129.8459667,7.874,
2011-12-09,42.0,619133.48,0.0,42.58,3.644,129.8555333,7.874,
2011-12-16,42.0,598437.98,0.0,50.53,3.489,129.8980645,7.874,
2011-12-23,42.0,575676.13,0.0,48.36,3.541,129.9845484,7.874,
2011-12-30,42.0,454412.28,1.0,48.92,3.428,130.0710323,7.874,
2012-01-06,42.0,636372.37,0.0,59.85,3.443,130.1575161,7.545,
2012-01-13,42.0,664348.2,0.0,51.0,3.477,130.244,7.545,
2012-01-20,42.0,579499.93,0.0,54.51,3.66,130.2792258,7.545,
2012-01-27,42.0,538978.67,0.0,53.59,3.675,130.3144516,7.545,
2012-02-03,42.0,588448.21,0.0,56.85,3.543,130.3496774,7.545,
2012-02-10,42.0,674919.45,1.0,55.73,3.722,130.3849032,7.545,
2012-02-17,42.0,606671.5,0.0,54.12,3.781,130.4546207,7.545,
2012-02-24,42.0,564304.15,0.0,56.02,3.95,130.5502069,7.545,
2012-03-02,42.0,585895.34,0.0,57.62,3.882,130.6457931,7.545,
2012-03-09,42.0,659816.15,0.0,57.65,3.963,130.7413793,7.545,
2012-03-16,42.0,618767.26,0.0,62.11,4.273,130.8261935,7.545,
2012-03-23,42.0,561226.38,0.0,56.54,4.288,130.8966452,7.545,
2012-03-30,42.0,544408.14,0.0,67.92,4.294,130.9670968,7.545,
2012-04-06,42.0,652312.11,0.0,65.99,4.282,131.0375484,7.382,
2012-04-13,42.0,639123.45,0.0,70.28,4.254,131.108,7.382,
2012-04-20,42.0,552529.23,0.0,67.75,4.111,131.1173333,7.382,
2012-04-27,42.0,526625.49,0.0,80.11,4.088,131.1266667,7.382,
2012-05-04,42.0,609274.89,0.0,77.02,4.058,131.136,7.382,
2012-05-11,42.0,643603.69,0.0,76.03,4.186,131.1453333,7.382,
2012-05-18,42.0,590636.38,0.0,85.19,4.308,131.0983226,7.382,
2012-05-25,42.0,535764.58,0.0,86.03,4.127,131.0287742,7.382,
2012-06-01,42.0,521953.78,0.0,80.06,4.277,130.9592258,7.382,
2012-06-08,42.0,642671.48,0.0,86.87,4.103,130.8896774,7.382,
