,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Forecast
2010-02-05,19.0,1507637.17,0.0,20.96,2.954,131.5279032,8.35,
2010-02-12,19.0,1536549.95,1.0,23.22,2.94,131.5866129,8.35,
2010-02-19,19.0,1515976.11,0.0,28.57,2.909,131.637,8.35,
2010-02-26,19.0,1373270.06,0.0,30.33,2.91,131.686,8.35,
2010-03-05,19.0,1495844.57,0.0,32.92,2.919,131.735,8.35,
2010-03-12,19.0,1467889.2,0.0,39.06,2.938,131.784,8.35,
2010-03-19,19.0,1332940.35,0.0,43.74,2.96,131.8242903,8.35,
2010-03-26,19.0,1427023.45,0.0,39.07,2.963,131.863129,8.35,
2010-04-02,19.0,1642970.27,0.0,45.26,2.957,131.9019677,8.185,
2010-04-09,19.0,1489613.32,0.0,55.66,2.992,131.9408065,8.185,
2010-04-16,19.0,1460354.67,0.0,49.67,3.01,131.9809,8.185,
2010-04-23,19.0,1456793.33,0.0,46.87,3.021,132.0226667,8.185,
2010-04-30,19.0,1405065.57,0.0,49.89,3.042,132.0644333,8.185,
2010-05-07,19.0,1566219.77,0.0,62.54,3.095,132.1062,8.185,
2010-05-14,19.0,1437319.45,0.0,46.53,3.112,132.152129,8.185,
2010-05-21,19.0,1377716.17,0.0,57.53,3.096,132.2230323,8.185,
2010-05-28,19.0,1648882.62,0.0,68.85,3.046,132.2939355,8.185,
2010-06-04,19.0,1519013.49,0.0,68.88,3.006,132.3648387,8.185,
2010-06-11,19.0,1410683.94,0.0,61.64,2.972,132.4357419,8.185,
2010-06-18,19.0,1457314.39,0.0,66.25,2.942,132.4733333,8.185,
2010-06-25,19.0,1450407.32,0.0,72.3,2.958,132.4976,8.185,
2010-07-02,19.0,1549018.68,0.0,66.25,2.958,132.5218667,8.099,
2010-07-09,19.0,1577541.24,0.0,78.22,2.94,132.5461333,8.099,
2010-07-16,19.0,1412157.02,0.0,74.6,2.933,132.5667742,8.099,
2010-07-23,19.0,1372043.71,0.0,74.68,2.924,132.5825806,8.099,
2010-07-30,19.0,1366395.96,0.0,72.83,2.932,132.5983871,8.099,
2010-08-06,19.0,1492060.89,0.0,74.2,2.942,132.6141935,8.099,
2010-08-13,19.0,1418027.08,0.0,72.71,2.923,132.63,8.099,
2010-08-20,19.0,1419383.19,0.0,72.22,2.913,132.6616129,8.099,
2010-08-27,19.0,1557888.16,0.0,66.4,2.885,132.6932258,8.099,
2010-09-03,19.0,1623519.64,0.0,74.69,2.86,132.7248387,8.099,
2010-09-10,19.0,1591453.39,1.0,63.36,2.837,132.7564516,8.099,
2010-09-17,19.0,1386789.31,0.0,58.68,2.846,132.7670667,8.099,
2010-09-24,19.0,1318343.58,0.0,63.43,2.837,132.7619333,8.099,
2010-10-01,19.0,1379456.3,0.0,59.91,2.84,132.7568,8.067,
2010-10-08,19.0,1428960.72,0.0,53.74,2.903,132.7516667,8.067,
2010-10-15,19.0,1369317.63,0.0,51.32,2.999,132.7633548,8.067,
2010-10-22,19.0,1357154.71,0.0,48.45,3.049,132.8170968,8.067,
