,Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Forecast
2010-02-05,12.0,1100046.37,0.0,49.47,2.962,126.4420645,13.975,
2010-02-12,12.0,1117863.33,1.0,47.87,2.946,126.4962581,13.975,
2010-02-19,12.0,1095421.65,0.0,54.83,2.915,126.5262857,13.975,
2010-02-26,12.0,1048617.17,0.0,50.23,2.825,126.5522857,13.975,
2010-03-05,12.0,1077018.27,0.0,53.77,2.987,126.5782857,13.975,
2010-03-12,12.0,985594.23,0.0,50.11,2.925,126.6042857,13.975,
2010-03-19,12.0,972088.34,0.0,59.57,3.054,126.6066452,13.975,
2010-03-26,12.0,981615.81,0.0,60.06,3.083,126.6050645,13.975,
2010-04-02,12.0,1011822.3,0.0,59.84,3.086,126.6034839,14.099,
2010-04-09,12.0,1041238.87,0.0,59.25,3.09,126.6019032,14.099,
2010-04-16,12.0,957997.52,0.0,64.95,3.109,126.5621,14.099,
2010-04-23,12.0,993833.44,0.0,64.55,3.05,126.4713333,14.099,
2010-04-30,12.0,954220.22,0.0,67.38,3.105,126.3805667,14.099,
2010-05-07,12.0,1043240.27,0.0,70.15,3.127,126.2898,14.099,
2010-05-14,12.0,966054.97,0.0,68.44,3.145,126.2085484,14.099,
2010-05-21,12.0,958374.56,0.0,76.2,3.12,126.1843871,14.099,
2010-05-28,12.0,955451.16,0.0,67.84,3.058,126.1602258,14.099,
2010-06-04,12.0,1049357.36,0.0,81.39,2.941,126.1360645,14.099,
2010-06-11,12.0,1016039.71,0.0,90.84,2.949,126.1119032,14.099,
2010-06-18,12.0,956211.2,0.0,81.06,3.043,126.114,14.099,
2010-06-25,12.0,958007.69,0.0,87.27,3.084,126.1266,14.099,
2010-07-02,12.0,951957.31,0.0,91.98,3.105,126.1392,14.18,
2010-07-09,12.0,943506.28,0.0,90.37,3.1,126.1518,14.18,
2010-07-16,12.0,916402.76,0.0,97.18,3.094,126.1498065,14.18,
2010-07-23,12.0,912403.67,0.0,99.22,3.112,126.1283548,14.18,
2010-07-30,12.0,913548.25,0.0,96.31,3.017,126.1069032,14.18,
2010-08-06,12.0,967576.95,0.0,92.95,3.123,126.0854516,14.18,
2010-08-13,12.0,928264.4,0.0,87.01,3.159,126.064,14.18,
2010-08-20,12.0,948447.34,0.0,92.81,3.041,126.0766452,14.18,
2010-08-27,12.0,1004516.46,0.0,93.19,3.129,126.0892903,14.18,
2010-09-03,12.0,1075758.55,0.0,83.12,3.087,126.1019355,14.18,
2010-09-10,12.0,903119.03,1.0,83.63,3.044,126.1145806,14.18,
2010-09-17,12.0,852882.61,0.0,82.45,3.028,126.1454667,14.18,
2010-09-24,12.0,851919.34,0.0,81.77,2.939,126.1900333,14.18,
2010-10-01,12.0,850936.26,0.0,85.2,3.001,126.2346,14.313,
2010-10-08,12.0,918335.68,0.0,71.82,3.013,126.2791667,14.313,
2010-10-15,12.0,862419.84,0.0,75.0,2.976,126.3266774,14.313,
2010-10-22,12.0,857883.46,0.0,68.85,3.014,126.3815484,14.313,
2010-10-29,12.0,955294.7,0.0,61.09,3.016,126.4364194,14.313,
2010-11-05,12.0,929690.71,0.0,65.49,3.129,126.4912903,14.313,
2010-11-12,12.0,942475.24,0.0,57.79,3.13,126.5461613,14.313,
2010-11-19,12.0,894493.7,0.0,58.18,3.161,126.6072,14.313,
2010-11-26,12.0,1601377.41,1.0,47.66,3.162,126.6692667,14.313,
2010-12-03,12.0,1069533.17,0.0,43.33,3.041,126.7313333,14.313,
2010-12-10,12.0,1121934.15,0.0,50.01,3.203,126.7934,14.313,
2010-12-17,12.0,1295605.35,0.0,52.77,3.236,126.8794839,14.313,
2010-12-24,12.0,1768249.89,0.0,52.02,3.236,126.9835806,14.313,
2010-12-31,12.0,891736.91,1.0,45.64,3.148,127.0876774,14.313,
2011-01-07,12.0,910110.24,0.0,37.64,3.287,127.1917742,14.021,
2011-01-14,12.0,812011.8,0.0,43.15,3.312,127.3009355,14.021,
2011-01-21,12.0,802105.5,0.0,53.53,3.223,127.4404839,14.021,
2011-01-28,12.0,873119.06,0.0,50.74,3.342,127.5800323,14.021,
2011-02-04,12.0,1046068.17,0.0,45.14,3.348,127.7195806,14.021,
2011-02-11,12.0,1086421.57,1.0,51.3,3.381,127.859129,14.021,
2011-02-18,12.0,1128485.1,0.0,53.35,3.43,127.99525,14.021,
